,review,rating,book_url
0,"Gorgeously illustrated, this slim volume is a nice primer for those with little to no exposure to data science. It covers some major basic concepts in a readable way as well as modern and bleeding edge applications of data science. I also liked how it situated data science firmly in the statistical tradition and gave some good introductions to some major historical figures. On the whole, while I didn't learn a lot, I love the art and would recommend this to anyone who wants a quick overview. And I absolutely would love to frame some of the illustrations on my office wall!**thanks to the editor, publisher, and NetGalley for a free copy in exchange for an honest review. ", 4 out of 5,https://www.goodreads.com/book/show/51181047/reviews
1,"Thanks to NetGalley, authors, and publishers, for the opportunity to read an advanced copy of ""30-Second Data Science"". This book is an excellent introduction to the subject of data and data science, with mesmerizing visual material, related facts to each topic, related brief biographies, highlighted main ideas, and very accessible explanations of topics. Do not expect deep dive into topics, this book does what it says: within a couple of minutes and a couple of pages we get an idea of certain use of data and its characteristics. This is a great tool for students interested in AI, data science, statistics, just to understand what are the uses and main research fields of data usage. It is perfectly visualized and great learning material and introductory tool. The book touches and elaborates the main uses of data and characteristics of uses in each of the below fields: -daily use of data-business use of data-social/ethical use of data-medical data & biostatistics-predictive analytics-decision making in uncertainty ( my personal favorite and research topic) -logistics and business process optimization -shopping, surveillance, and other uses. Needless to say, this is a definitely 5-star read for me. The amount of research and accessibility for the researches in all academical fields, language, and logical reasoning and transitions, made this book an exceptional material for both students.I am going to use this in my classes of the theory of psychological research as a mandatory, introductory read, as well as my small research group. If possible, please share a copy of this book upon printing, I'd definitely treasure it in my library.", 5 out of 5,https://www.goodreads.com/book/show/51181047/reviews
2,"This is a good summary book of the main principles and figures in data science. If you have no previous knowledge of the subject, I don't think this is the right guide to learn. But as a review/reference, it would be handy for a classroom. The book design is very nice. I normally don't pay a lot of attention to forewords, but this one was kind of a non-sequitur, and even contained an apparent error in the name of the professor's institution--it's the Faculty of Arts AND Sciences, not OF. Anyway. I also really liked the sidebars of ""3-second samples"" and ""3-second analyses""--they would be great to use with a classroom. Thank you to the publishers and NetGalley for the opportunity to review a temporary digital ARC in exchange for an unbiased review.", 4 out of 5,https://www.goodreads.com/book/show/51181047/reviews
3,"Found this book in my local library. Data science is one of my many interests so I decided to read this one.I think that it's a great book for those just getting started with data science. It doesn't have too much information, and even has smaller paragraphs, summing up things. At the beginning of each section, they had a glossary of key terms, but it would have been better, if it was also included at the bottom of the page that I was reading. For example, I'm reading something that has the term 'causation' in it. I can't remember what it means so I have to go all the way to the beginning of the section.I also think that the book would have benefited from featuring more diverse data scientists. But it's just a reflection of the kind of people that usually get the attention.As I mentioned before, it's an okay book for somebody interested in data science. You can explore many different topics, and then look them up in more detail, if anything catches your eye. The book is also very visually appealing, which was another reason why I wanted to take it home with me.", 3 out of 5,https://www.goodreads.com/book/show/51181047/reviews
4,"This book is a great read if you are looking to some concise introductions of the principles and main concepts used in the complex field of data science. With data management and evaluation a driving force between a large range of industries and fields - from AI, sports, dating and medicine, to mention only a few - it is important to realize, through simple everyday life examples - what is the relevance of the data models and patterns. In addition, the readers are also introduced to important historical names that pioneered the use of data science. I was particularly impressed by the graphic part with inspiring illustrations pertinent to the topics explained.Disclaimer: Book offered by the publisher in exchange for an honest review", 5 out of 5,https://www.goodreads.com/book/show/51181047/reviews
5,"I have read other books in the 30-second series, so I am familiar with the format. As a novice to the field of data science, this does give a decent overview of theories from a variety of fields such as computing, mathematics, economics and even philosophy. This multi-disciplinary approach is really engaging and you can come away from the book feeling relatively well informed! And you can take it to the bare minimum or go further. If you are in a scientific/mathematical field, or just looking to enhance your knowledge, this is the book for you.", 5 out of 5,https://www.goodreads.com/book/show/51181047/reviews
6,"Too basic, just some initial concepts about Data Science and then many fields where data science is applied, but no special insights, knowledge; just lot of areas where data science is applied.I found interesting the short biographies.Difficult to recommend to someone, maybe if you are very new to data science.", 3 out of 5,https://www.goodreads.com/book/show/51181047/reviews
7,"A quick 2-hour intro to data science covering foundational topics, useful for anybody regardless of background. Data is the new oil and everyone should have a high-level awareness.", 3 out of 5,https://www.goodreads.com/book/show/51181047/reviews
8,"Quick and easy read! The book does a good job of explaining complex and academic terms related to statistics and data science in lay-man language. The graphics and design of the book suit the topic. The information has been presented in digestible chunks with a focus on real life applications. This approach to explaining topics is effective and consistent throught the book. I would recommend it as a must-read for anyone interested in the role of data and statistics in our everyday lives. Besides being a good introduction to data science for people from various fields, it could also serve as a source for gathering general knowledge and interesting facts about AI, computer science, big data etc. (such as while preparing for quizzes). The book also prompts the reader to question and reflect on the world they inherit--its systems, flaws, and nuances. Ultimately, it is about so much more than what one may think encompasses “data science”. Thank you to the publishers and NetGalley for providing me the opportunity to read an advanced copy of 30-Second Data Science"".", 5 out of 5,https://www.goodreads.com/book/show/51181047/reviews
9,"This was a good book, and interesting read. I really liked the way it was laid out. Very magazine-like graphic design. Impressive. Would recommend for learning tidbits of data science. 3.7/5", 3 out of 5,https://www.goodreads.com/book/show/51181047/reviews
10,"I like the layouts of these ""30 second"" type books - a series of short, digestible sections explaining a complicated concept, using words, quotes, images, numbers and other visuals. ","el=""Review ",https://www.goodreads.com/book/show/51181047/reviews
11,Brief introduction to the field of data science!, 5 out of 5,https://www.goodreads.com/book/show/51181047/reviews
12,An overview really 30 seconds each article on Data Science from legendary statisticians of the 19th century to data related issues such as ethics being addressed in the 21st century or future., 4 out of 5,https://www.goodreads.com/book/show/51181047/reviews
13,"First, let's get one thing out of the way: Data Science is tricky. It's translating business questions, requirements, and needs into actionable insights. It's designing and interpreting the result of data-driven experiments. It's machine-learning and A.I. It's statistics. It's math. It's everywhere, and it's hard.While there are no shortage of books out there that seek to aid the prospective product manager or software developer in preparing for interviews in their respective fields, this is the only book in its class for data scientists that covers what you'd need in terms of:1. behavioral interview preparation2. probability3. statistics4. coding and databases5. machine learning6. product sense7. use casesNick and Kevin deserve a lot of praise because a lot of the material in the book would be totally inaccessible to candidates without any experience in some tech/social media. In this book, you'll find contextualized (and some not so) practice questions for FAANG companies as well as finance, and Wall Street. The material is invaluable for this alone.If I could make a recommendation based on my interview journey thus far, it would be to include material that deals with the shapes of real-world distributions i.e. ""what do you think the distribution of time spent per day on Facebook looks like?”Overall, top-notch, highest possible recommendation!", 5 out of 5,https://www.goodreads.com/book/show/58949285/reviews
14,This book helped me land a few offers. The exercises are helpful and it is written well., 4 out of 5,https://www.goodreads.com/book/show/58949285/reviews
15,"Excellent resource containing all the essential stuff in one place, in a well-structured manner. The content itself will take forever to master! ", 5 out of 5,https://www.goodreads.com/book/show/58949285/reviews
16,"The chapter covering databases is very brief and doesn't get into the details of how data scientists/engineers use the tools or how the skills are tested. Also, the choice of postgres syntax seemed arbitrary, as mySQL varieties are more common. The mathematics sections were more thorough but in my experience less relevant in interviews (unless you're doing research). Overall the questions were good and worth the time to solve, but the choice of material did not reflect my experience either in interviewing data science candidates or in being interviewed for data science and ml engineering roles. The focus in interviews I've seen is most often on experiment design, SQL, and software engineering, which were less of a focus in this book than the probability/stats/ml math sections.", 3 out of 5,https://www.goodreads.com/book/show/58949285/reviews
17,"DataScience and ML plan:(0) Ace the Data Science Interview (Kevin Huo)(1) Business Data Science(2) Naked Statistics — Stripping the Dread From the Data(3) Machine Learning Simplified(4) Hands-On Machine Learning with Scikit-Learn, Keras & TensorFlow, 3rd Edition(5) Practical Statistics for Data Scientists(6) Elements of Statistical Learning (already downloaded)(6.5) The Book of Why(7) Machine Learning Yearning(8) Artificial Intelligence in Practice: How 50 Successful Companies Used AI (9) Deep Learning Illustrated(10) Deep Learning with Python(11) Deep Learning (by Ian Goodfellow et al)(12) Interpretable Machine Learning with Python(13) Mastering 'Metrics: The Path from Cause to Effect","el=""Review ",https://www.goodreads.com/book/show/58949285/reviews
18,"I liked it. Covers math, stats, ML, SQL, coding and product sense. Adds some practical advice about interviewing. The field is moving fast so candidates should also expect questions about the latest developments but understandably that's hard to cover in a printed book.", 5 out of 5,https://www.goodreads.com/book/show/58949285/reviews
19,Good book, 4 out of 5,https://www.goodreads.com/book/show/58949285/reviews
20,Good, 5 out of 5,https://www.goodreads.com/book/show/58949285/reviews
21,"Some chapters, especially in the beginning (how to get an interview) and end (e2e cases) are good, but too much of self-promo from two guys with quite limited career experience and growth.", 2 out of 5,https://www.goodreads.com/book/show/58949285/reviews
22,Good interview guidances , 5 out of 5,https://www.goodreads.com/book/show/58949285/reviews
23,amazing and so well structured material i have read in the data science community so far. Kudos to the authors, 5 out of 5,https://www.goodreads.com/book/show/58949285/reviews
24,Solid for folks who need a brush up on interview topics that they don't deal with on a daily basis in their current role. , 5 out of 5,https://www.goodreads.com/book/show/58949285/reviews
25,"I really wanted to love this book. The concept of walking through a quite elaborate example is excellent. I think it shows many of the pit falls and iterations you need to do from start to finished data product. However, as one of the other reviews also points out, the code example in there are unfinished and the instructions are hard to follow. For me it started in chapter 4, where you are asked to run the first piece of code to convert data. However, I wasn't sure where to run it and it took me a while to figure out it was supposed to be executed in Spark. Probably just me being slow.Once I booted spark up it would still not run, as there was a piece of missing initialization data which I only found once I looked in another branch on git. That was just the beginning. Once I got to connecting Flask and Mongo it really went downhill as the versions weren't compatible. So if the code gets some polish and a ready to use image for Vagrant and EC2 that would work, then it will be a 5-star book. ", 2 out of 5,https://www.goodreads.com/book/show/30014113/reviews
26,"It's a good book for programmer or data science beginner level to know the data science concept and popular tool-set in the industry.However the book is not up-to-date to keep with the latest software version. Thus some of the codes in the book are not working as expected(Too bad..). So it means the quality of the book is under the standard.For example, it's using pyElasticsearch package however it's only support ElasticSearch (<2.0) version. It's an ok book and needs more polished in my opinion. ", 2 out of 5,https://www.goodreads.com/book/show/30014113/reviews
